,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_1658074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1758371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1748057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1813936,0.01054217,0.01355422,0.007530121,0,0.01506024,0.01204819,0.03012048,0.01957831,0.01957831,0.01957831,0.04066265,0.1415663,0.01807229,0.06325302,0.01656627,0.02409638,0.01506024,0.006024096,0.02108434,0.01506024,0.01054217,0.01054217
ILMN_1665435,0.02409638,0.01054217,0.01054217,0.03162651,0.04216867,0.09939759,0.05120482,0.2183735,0.07228915,0.1129518,0.1355422,0.3433735,0.2379518,0.1837349,0.1325301,0.1009036,0.1987952,0.05120482,0.2243976,0.2213855,0.07680723,0.3584337
ILMN_1668984,0.08584338,0.1987952,0.0436747,0.0496988,0.07680723,0.04819277,0.2439759,0.03463855,0.126506,0.08885542,0.08584338,0.07981928,0.04216867,0.05421687,0.02409638,0.2003012,0.2168675,0.02861446,0.06475904,0.06174699,0.1310241,0.2771084
ILMN_1747943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1810147,0.1656626,0.2650602,0.2996988,0.3704819,0.3222892,0.5165663,0.5135542,0.1189759,0.4292169,0.2996988,0.1837349,0.1972892,0.2259036,0.2816265,0.09036145,0.189759,0.310241,0.186747,0.2108434,0.2213855,0.09487952,0.1310241
ILMN_1749150,0.4548193,0.1475904,0.6355422,0.6611446,0.7198795,0.4774096,0.4277108,0.1521084,0.2876506,0.1671687,0.3493976,0.5180723,0.2213855,0.1475904,0.3780121,0.25,0.1701807,0.316265,0.185241,375,0.2530121,0.2183735
ILMN_1751258,0.0703125,0.3518392,0.1175833,0.02620119,0.02006029,0.02939582,0.09603285,0.01473817,0.02620119,0.05947094,0.008193542,0.1413134,0.01975976,0.0703125,0.1287934,0.0574115,0.07548719,0.04093936,0.06586701,0.05048923,0.01045144,0.06532153
ILMN_2167805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1700268,0.4563253,0.4698795,0.7650602,0.563253,0.5512048,0.6671687,0.8012048,0.3222892,0.626506,0.373494,0.4066265,0.1972892,0.4216867,0.3915663,0.4066265,0.3704819,0.4653614,0.3418675,0.6762048,0.3524096,0.5225903,0.1641566
ILMN_1774493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1699249,0.5,0.03299722,0.02547004,0.01615266,0.02768363,0.1869916,0.1266958,0.1935353,0.426894,0.1383242,0.1139757,0.5079063,0.3208196,0.06535117,0.02547004,0.3084366,0.2822131,0.2851937,0.2061532,0.1607149,0.3535224,0.05650508
