,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_1751075,144.5732,182.8217,62.96267,394.2985,125.1193,127.6568,168.7266,338.6778,145.5068,229.5065,229.3584,318.3801,346.8753,445.6418,190.3752,90.39053,116.1625,430.3342,309.0298,258.4271,107.0546,274148
ILMN_1754943,294.9552,728.7453,782.4335,1249051,910.4829,581752,587684,725.2028,547.29,582.7692,593984,1984276,512.0641,1353.68,804.8556,1121053,679.8967,623.6132,616.5602,553.1161,543.6335,942.9041
ILMN_1715815,45.38509,46.06528,35.56034,56.91533,55.99631,45.84522,42.73545,63.88576,56.48746,55.93383,68.67223,62.39439,52.10886,66.80875,57.63116,81.31554,57.00215,74.49852,61.10435,61.00145,66.3163,57.8735
ILMN_2414254,202.4868,449.0881,297.6906,575.6833,533.8758,325.3168,398.5855,1203421,604.4766,667449,695.5401,2640485,856.5817,1836956,903.7212,1802167,853.8519,1157.96,960.3798,1121541,983.3115,1152046
ILMN_1661434,111.9926,229.1815,264.3953,765.6443,310.4337,253.6453,178.5125,212.9451,211.1452,191.2425,249.1265,396.4557,252.59,516.4154,361.1736,440.0781,294.3099,307.5447,251.9486,259.2324,359.0021,306.9214
ILMN_1675848,357.7542,778947,534.5538,614.5722,537.7001,527.2202,514.4159,1037216,1090528,1084813,1102783,1574221,840.86,1621633,877.5083,3901336,1016768,1382474,1201141,1126801,1108639,1042203
ILMN_1662358,97.94653,115.3844,241.8427,386.6872,187597,127.1652,136.2124,184.2729,224.5871,223.4002,338.3038,386.5524,296.4317,806.2524,329.3601,447.0368,372.9729,391.2714,311.1053,353.1118,379.0094,346.6466
ILMN_2271304,41.68868,49.60253,49.36661,67.69411,52.96465,46.13209,46694,61.48857,59.21958,60.08382,70.05798,69.36617,69.67966,79.80197,58.76186,83.49837,65.0894,65.97486,62.15466,56.61771,70.61811,67.66795
ILMN_2410905,138.3338,174.9134,334.7633,442.2054,336.5771,322.4084,180.8511,239.2453,276.4,164.9886,431.9802,179.6106,257.3438,639.2378,407.7632,358.4955,216.9172,515.5147,177.3269,291.5082,276.1627,249.7345
ILMN_1805827,548.1212,972452,983.7994,3069504,1980.73,2111854,1206.27,893.5757,723.7396,1312887,927.6704,454.0146,1061616,1172009,1291109,1714193,1306917,898.9286,1114339,1117788,1371138,1148321
